Wall time,Step,Value
1763710114.2446144,244,0.13666149973869324
1763710131.609722,465,0.10686098039150238
1763710139.0825815,556,0.12206356972455978
1763710147.5159423,658,0.09254905581474304
1763710158.9558735,804,0.11515773087739944
1763710175.16931,1026,0.07706140726804733
1763710183.25247,1132,0.10279090702533722
1763710206.4191804,1458,0.09109879285097122
1763710209.22577,1494,0.09374544769525528
1763710210.4683993,1510,0.1193760335445404
1763710214.8310132,1565,0.09989557415246964
1763710245.1077778,1940,0.09979359805583954
1763710246.760584,1960,0.09800440073013306
1763710290.0267336,2503,0.08748911321163177
1763710304.4076889,2693,0.09125353395938873
1763710306.3725383,2717,0.07853507995605469
1763710334.5922408,3083,0.08651933073997498
1763710347.7257562,3241,0.09327217936515808
1763710349.7112672,3265,0.09438040852546692
1763710373.0846946,3566,0.08669377863407135
1763710382.8064322,3654,0.07372443377971649
1763710418.8887856,4121,0.07692325115203857
1763710423.929628,4181,0.09463314712047577
1763710454.075435,4564,0.0794336199760437
1763710495.4349182,5090,0.09019071608781815
1763710503.0649636,5187,0.0794435441493988
1763710508.868632,5262,0.08214198797941208
1763710511.5190039,5295,0.07882598042488098
1763710516.976832,5362,0.09242942929267883
1763710526.601589,5454,0.07453177869319916
1763710543.2703269,5667,0.08490871638059616
1763710556.7028527,5832,0.07628272473812103
1763710559.3204303,5866,0.079880490899086
1763710568.0203846,5981,0.0832613855600357
1763710569.1000953,5997,0.06670324504375458
1763710573.2829778,6053,0.08910927921533585
1763710591.2955828,6279,0.08080676198005676
1763710595.752127,6334,0.07951745390892029
1763710613.4730937,6569,0.07670924067497253
1763710625.693343,6730,0.07895787805318832
1763710636.1088972,6850,0.08021113276481628
1763710648.1952057,6991,0.07252062857151031
1763710671.4993408,7253,0.06872061640024185
1763710685.993667,7436,0.07645352929830551
1763710688.2803829,7464,0.07526928931474686
1763710702.6082866,7644,0.08913788199424744
1763710709.5433898,7730,0.08347851783037186
1763710729.526164,7986,0.06815509498119354
1763710740.8492715,8122,0.06866621971130371
1763710754.7317164,8291,0.08170617371797562
1763710775.0344381,8548,0.08656090497970581
1763710775.5301669,8554,0.07138868421316147
1763710780.8067398,8618,0.07237407565116882
1763710784.1874936,8659,0.08208729326725006
1763710787.0867343,8694,0.06815650314092636
1763710789.5397253,8724,0.07599199563264847
1763710791.8525376,8752,0.08735387027263641
1763710793.825307,8776,0.07724040001630783
1763710793.991864,8778,0.0679122731089592
1763710825.325253,9152,0.0855703055858612
1763710832.7243383,9252,0.08187900483608246
1763710835.8077798,9291,0.0785638839006424
1763710839.1130254,9327,0.07743220776319504
1763710841.9608276,9359,0.0775822252035141
1763710871.2305474,9712,0.07986366003751755
1763710874.6224256,9753,0.07771282643079758
1763710881.5381896,9837,0.06991784274578094
1763710886.2305017,9894,0.08138684183359146
1763710888.1274314,9917,0.06981517374515533
1763710890.767983,9949,0.07660859823226929
1763710893.2831645,9979,0.09109891206026077
1763710900.2157314,10063,0.07338260114192963
1763710902.4460304,10090,0.07232096791267395
1763710904.921254,10121,0.08076871931552887
1763710909.9818137,10191,0.07091955840587616
1763710929.7015913,10445,0.07380140572786331
1763710935.6823728,10518,0.08317045867443085
1763710946.2937782,10643,0.07306675612926483
1763710946.4763918,10645,0.0792597085237503
1763710951.9237888,10707,0.07759605348110199
1763710978.9306211,11023,0.07013987004756927
1763710986.78006,11118,0.06289903819561005
1763711041.2424278,11819,0.07023920118808746
1763711045.1465693,11867,0.07335125654935837
1763711057.7462947,12027,0.07675997167825699
1763711061.4848666,12076,0.07933103293180466
1763711083.0666285,12354,0.07126761227846146
1763711086.3812573,12398,0.06063757464289665
1763711092.5437207,12476,0.0707121416926384
1763711129.5809774,12905,0.07597556710243225
1763711159.8744414,13304,0.0763361006975174
1763711166.5797968,13388,0.07064350694417953
1763711177.0139,13522,0.07906275987625122
1763711179.2654412,13550,0.07276381552219391
1763711186.2106562,13642,0.07915511727333069
1763711186.6011562,13647,0.0745236799120903
1763711199.005195,13802,0.07356933504343033
1763711202.2797446,13849,0.06993016600608826
1763711211.8081267,13971,0.07086306065320969
1763711217.9826882,14046,0.0726432129740715
1763711229.8360398,14188,0.07820558547973633
1763711236.1113777,14265,0.08173486590385437
1763711244.1772606,14361,0.07615597546100616
1763711268.537363,14645,0.07018828392028809
1763711276.7504106,14745,0.08282415568828583
1763711285.428549,14851,0.07251930236816406
1763711286.4846194,14864,0.07135149836540222
1763711302.2957966,15065,0.0684378370642662
